"EZ Chat", "Hỗ trợ trực tuyến"
"Contact (Yahoo, Skype) Manager", "Quản lý liên hệ (Yahoo, Skype)"
"Add Contact", "Thêm liên hệ"
"Contact Information", "Thông tin liên hệ"
"Username", "Tên đăng nhập"
"Sort Order", "Thứ tự"
"Type", "Loại"
"Enabled", "Hiệu lực"
"Disabled", "Vô hiệu"
"-- Please Select --", "-- Vui lòng chọn --"
"Support Online", "Hỗ trợ trực tuyến"
"Manage Contacts", "Danh sách liên hệ"
"Enable Chat", "Tắt/bật hỗ trợ"
"Logo type", "Kiểu logo"
"Size of Yahoo, Skype icon", "Kích thước biểu tượng Yahoo, Skype"
