"Menu Manager", "Quản lý nhóm menu"
"Menu Items Manager", "Quản lý mục menu"
"Add Group", "Thêm nhóm"
"Group Information", "Thông tin nhóm"
"Content", "Nội dung"
"Add Item", "Thêm mục mới"
"MenuTitle", "Tiêu đề menu"
"Menu Group", "Nhóm menu"
"Menu Level", "Cấp menu"
"Description", "Mô tả"
"Status", "Trạng thái"
"Menu Items Information", "Thông tin mục menu"
"Title", "Tiêu đề"
"Parent Items", "Menu cấp trên"
"Order Item", "Thứ tự"
"Insert Item : ", "Chèn menu: "
"Before", "Trước"
"After", "Sau"
"Insert Image...", "Chọn ảnh..."
"Target window", "Cửa sổ đích"
"Menu Type", "Loại Menu"
"Data Type", "Dữ liệu"
"CMS Block", "Khối tĩnh CMS"
"Product", "Sản phẩm"
"Not Selected", "Chưa chọn"
"Select Product...", "Chọn sản phẩm..."
"Category", "Danh mục"
"Select Category...", "Chọn danh mục..."
"CMS Page", "Trang CMS"
"Select Page...", "Chọn trang CMS..."
"Select Block...", "Chọn khối CMS..."
"Default", "Kiểu mặc định"
"External Link", "Liên kết từ bên ngoài"
"Product", "Sản phẩm"
"Category", "Danh mục"
"CMS Page", "Trang CMS"
"CMS Block", "Khối CMS"
"Internal Link", "Liên kết trong"
"Yes", "Có"
"No", "Không"
"--Please Select--", "--Lựa chọn--"
"Same Window", "Cùng cửa sổ"
"New Window", "Cửa sổ mới"
"Popup Window", "Cửa sổ popup"
