"EZ Slideshow", "Quản lý trình diễn ảnh"
"General Settings", "Cài đặt chung"
"Enable Slideshow", "Bật/tắt slideshow"
"Display Settings", "Cài đặt hiển thị"
"Number of images", "Số ảnh"
"Number of images using in slideshow", "Số ảnh sử dụng cho slideshow, mặc định lấy tất cả ảnh có hiệu lực"
"Sort type", "Kiểu sắp xếp"
"Ascending, descending or random order", "Xuôi, ngược hoặc ngẫu nhiên"
"Manage Slides", "Quản lý slides"
"Configuration", "Cấu hình"
"Manage Slides", "Danh sách Slide"
"Add Slide", "Thêm Slide"
"Edit '%s'", "Sửa '%s'"
"Slide Information", "Thông tin ảnh"
"Slide Attributes", "Thuộc tính slide"
"Status", "Trạng thái"
"Enabled", "Hiệu lực"
"Disabled", "Vô hiệu"
"Title", "Tiêu đề"
"Image", "Ảnh"
"Link", "Liên kết"
"Description", "Mô tả"
"Order", "Thứ tự"
"Your image will be display at ", "Kích thước ảnh slide là "
