"* Required Fields","* Trường yêu cầu nhập"
"Comment","Nội dung"
"Contact Form","Mẫu liên hệ"
"Contact Information","Thông tin liên hệ"
"Contact Us","Liên hệ"
"Contact Us Form","Mẫu liên hệ"
"Contacts","Liên hệ"
"Contacts Section","Mục liên hệ"
"Email","Email"
"Email Options","Tùy chọn email"
"Email Sender","Email người gửi"
"Email Template","Mẫu email"
"Enable Contact Us","Kích hoạt liên hệ"
"Name","Tên"
"Send Emails To","Gửi email tới"
"Submit","Gửi đi"
"Telephone","Điện thoại"
"Unable to submit your request. Please, try again later","Không thể gửi yêu cầu. Vui lòng thử lại"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Yêu cầu của bạn đã được gửi đi, bạn sẽ nhận được trả lời của chúng tôi trong thời gian ngắn nhât. Xin cảm ơn!"
